title,placeId,location/lat,location/lng,categoryName,address,comfort_cozy_score,spicy_hot_score,fresh_healthy_score,cheap_budget_score,quick_fast_score
Nhà Hàng Hương Mai,osm-node-6628638085,21.0121151,105.8040818,Nhà hàng,,0.0,0.0,0.0,0.0,0.0
Quán Nướng ABéo,osm-node-6640901648,21.0326627,105.8290076,Nhà hàng,"10, Phố Kim Mã, Phường Ba Đình, Hà Nội",0.0,0.5,0.0,0.0,0.0
Bún cá Văn,osm-node-6640913832,21.0429002,105.8395084,Nhà hàng,"174, Phố Quán Thánh, Phường Ba Đình, Hà Nội",0.0,0.0,0.0,0.0,0.0
Phở Lý Quốc Sư,osm-node-6679712288,21.0109743,105.831105,Nhà hàng,"119D1, Phố Đặng Văn Ngữ, Đống Đa, Hà Nội",0.0,0.0,0.0,0.0,0.0
Nhà Hàng Món Huế,osm-node-6681348985,21.011719,105.801052,Nhà hàng,,0.0,0.0,0.0,0.0,0.0
Nộm Mai Nga,osm-node-6689625508,21.0192721,105.8528021,Nhà hàng,"25, Phố Hàm Long",0.0,0.0,0.0,0.0,0.0
Bố Đế Quán,osm-node-6699204786,21.0672457,105.830883,Nhà hàng,,0.0,0.0,0.0,0.0,0.0
Chợ Cô Dần - Cơm Sườn & Phá Lấu,osm-node-6705528525,21.0132031,105.8330408,Nhà hàng,"119, Phố Nam Đồng, Đống Đa, Hà Nội",0.0,0.0,0.0,0.0,0.0
Tấm cuisine & Traditional house,osm-node-6784112360,21.0636852,105.8655285,Nhà hàng,"Số 7, ngách 2, ngõ 437, Ngọc Thụy, Long Biên, Hà Nội",0.0,0.0,0.0,0.0,0.0
Cơm 123,osm-node-6822174389,21.0170339,105.8317134,Nhà hàng,"482, Phố Xã Đàn, Đống Đa, Hà Nội",0.0,0.0,0.0,0.0,0.0
Vũ Kiều Tú / Sen Trang An / Cumulus,osm-node-6882889996,21.0327728,105.8539006,Nhà hàng,"45-47, Phố Hàng Bè, Phường Hoàn Kiếm, Hà Nội",0.0,0.0,0.0,0.0,0.0
Giang Nam Restaurant,osm-node-7025533318,21.0337076,105.848427,Nhà hàng,"79, Phố Hàng Bồ, Phường Hoàn Kiếm, Hà Nội",0.0,0.0,0.0,0.0,0.0
Ba Ba Sơn Đông,osm-node-7055985628,21.0346219,105.7888949,Nhà hàng,"50, Phố Trần Thái Tông, Quận Cầu Giấy, Hà Nội",0.0,0.0,0.0,0.0,0.0
Bún Chả Sinh Từ,osm-node-7056027929,21.0346716,105.7889104,Nhà hàng,"48, Phố Trần Thái Tông, Quận Cầu Giấy, Hà Nội",0.0,0.0,0.0,0.0,0.0
Lẩu Ốc Bún Ốc Gia Truyền Khương Thượng,osm-node-7089810485,20.9963442,105.8294948,Nhà hàng,"18, Ngõ 134 Lê Trọng Tấn",0.0,0.25,0.0,0.0,0.0
Cơm - Phở Chay Từ Bi,osm-node-7106593486,21.0491199,105.8398964,Nhà hàng,"30A, Ngõ Trúc Lạc, Phường Ba Đình, Hà Nội",0.0,0.0,0.5,0.0,0.0
RueDuCamp Quán cà phê,osm-node-7112196485,21.0279649,105.8448225,Nhà hàng,"50A, Phố Tràng Thi",1.0,0.0,0.0,0.0,0.0
Nhà Hàng Ầu Ơ Bếp Việt,osm-node-7205751930,21.0213654,105.8566874,Nhà hàng,"15, Phố Lý Thường Kiệt, Hoàn Kiếm, Hà Nội",0.0,0.0,0.0,0.0,0.0
Pho Thìn,osm-node-7217547685,21.0251921,105.845147,Nhà hàng,,0.0,0.0,0.0,0.0,0.0
